NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	69	0.7182268	1.6482941	0.0021231424	1.0	0.549	3261	tags=59%, list=16%, signal=71%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	57	0.66798735	1.645613	0.0039525693	1.0	0.552	3511	tags=53%, list=17%, signal=64%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	112	0.48014885	1.6161658	0.084745765	0.8745448	0.626	6423	tags=53%, list=32%, signal=77%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	71	0.6708157	1.5959734	0.012072435	0.76441187	0.677	3261	tags=51%, list=16%, signal=60%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	116	0.47841454	1.5752383	0.10583153	0.711429	0.732	7605	tags=64%, list=38%, signal=102%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	Details ...	49	0.51068395	1.5685666	0.025291828	0.6204204	0.746	4391	tags=43%, list=22%, signal=55%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	50	0.5168633	1.561181	0.029411765	0.55898875	0.759	3100	tags=32%, list=15%, signal=38%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Details ...	24	0.7348926	1.5557512	0.029880479	0.50775975	0.769	3207	tags=50%, list=16%, signal=59%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	Details ...	69	0.5721571	1.5271415	0.02734375	0.5491932	0.814	3514	tags=41%, list=17%, signal=49%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Details ...	27	0.7076384	1.5012436	0.065868266	0.5826085	0.842	3207	tags=52%, list=16%, signal=62%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Details ...	15	0.61996996	1.4945254	0.09915612	0.55412567	0.851	1630	tags=27%, list=8%, signal=29%	
