NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	69	0.7182268	2.5538676	0.0	0.0	0.0	3261	tags=59%, list=16%, signal=71%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	71	0.6708157	2.3806899	0.0	0.0	0.0	3261	tags=51%, list=16%, signal=60%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	57	0.66798735	2.2657287	0.0	0.0	0.0	3511	tags=53%, list=17%, signal=64%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	54	0.6369054	2.1823888	0.0	2.0643942E-4	0.001	3207	tags=46%, list=16%, signal=55%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Details ...	24	0.7348926	2.1264098	0.0	1.6515152E-4	0.001	3207	tags=50%, list=16%, signal=59%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Details ...	27	0.7076384	2.1105995	0.0015600624	1.3762627E-4	0.001	3207	tags=52%, list=16%, signal=62%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	Details ...	63	0.609765	2.1102297	0.0	1.1796538E-4	0.001	3261	tags=49%, list=16%, signal=59%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	25	0.70487005	2.0276527	0.0	2.0966501E-4	0.002	3364	tags=64%, list=17%, signal=77%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	Details ...	69	0.5721571	2.0195775	0.0	1.863689E-4	0.002	3514	tags=41%, list=17%, signal=49%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	Details ...	50	0.586639	1.9773036	0.0	2.5030776E-4	0.003	3798	tags=44%, list=19%, signal=54%	
KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM	Details ...	28	0.6274748	1.8961701	0.0	0.0016315915	0.02	3511	tags=54%, list=17%, signal=65%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	112	0.48014885	1.8576818	0.0	0.0028591044	0.039	6423	tags=53%, list=32%, signal=77%	
