#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0009051	"Pentose-phosphate shunt, oxidative branch"	2	4	3.09	0.0022	"9606.ENSP00000270776,9606.ENSP00000377192"	"PGD,G6PD"
GO:0019322	Pentose biosynthetic process	2	4	3.09	0.0022	"9606.ENSP00000270776,9606.ENSP00000377192"	"PGD,G6PD"
GO:0000305	Response to oxygen radical	2	19	2.41	0.0196	"9606.ENSP00000262746,9606.ENSP00000383365"	"PRDX1,TXNRD2"
GO:0006739	NADP metabolic process	3	31	2.37	0.00029	"9606.ENSP00000265462,9606.ENSP00000270776,9606.ENSP00000377192"	"PRDX5,PGD,G6PD"
GO:0042744	Hydrogen peroxide catabolic process	2	28	2.24	0.0336	"9606.ENSP00000262746,9606.ENSP00000265462"	"PRDX1,PRDX5"
GO:0045454	Cell redox homeostasis	4	60	2.21	1.16E-05	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,TXNRD2"
GO:1901031	Regulation of response to reactive oxygen species	2	35	2.15	0.0478	"9606.ENSP00000363641,9606.ENSP00000372191"	"TXN,SIRT3"
GO:0090322	Regulation of superoxide metabolic process	2	36	2.13	0.0485	"9606.ENSP00000372191,9606.ENSP00000381607"	"SIRT3,GSTP1"
GO:0000302	Response to reactive oxygen species	5	198	1.79	1.14E-05	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,GSTP1,TXNRD2"
GO:0034599	Cellular response to oxidative stress	5	244	1.7	2.23E-05	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,G6PD,GSTP1,TXNRD2"
GO:2000377	Regulation of reactive oxygen species metabolic process	3	188	1.59	0.0276	"9606.ENSP00000372191,9606.ENSP00000377192,9606.ENSP00000381607"	"SIRT3,G6PD,GSTP1"
GO:0006979	Response to oxidative stress	6	393	1.57	4.00E-06	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,G6PD,GSTP1,TXNRD2"
GO:0048872	Homeostasis of number of cells	3	204	1.56	0.0336	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000377192"	"PRDX1,PRDX5,G6PD"
GO:0055114	Oxidation-reduction process	8	939	1.32	3.75E-07	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000270776,9606.ENSP00000363641,9606.ENSP00000372191,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,PGD,TXN,SIRT3,G6PD,GSTP1,TXNRD2"
GO:0010035	Response to inorganic substance	4	538	1.26	0.0228	"9606.ENSP00000262746,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000383365"	"PRDX1,TXN,G6PD,TXNRD2"
GO:1901700	Response to oxygen-containing compound	6	1567	0.97	0.0056	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,G6PD,GSTP1,TXNRD2"
GO:0042592	Homeostatic process	6	1676	0.94	0.0077	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,G6PD,GSTP1,TXNRD2"
GO:0065008	Regulation of biological quality	7	4042	0.63	0.0485	"9606.ENSP00000262746,9606.ENSP00000265462,9606.ENSP00000363641,9606.ENSP00000372191,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000383365"	"PRDX1,PRDX5,TXN,SIRT3,G6PD,GSTP1,TXNRD2"
