#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0009051	"Pentose-phosphate shunt, oxidative branch"	2	4	2.84	0.004	"9606.ENSP00000270776,9606.ENSP00000377192"	"PGD,G6PD"
GO:0019322	Pentose biosynthetic process	2	4	2.84	0.004	"9606.ENSP00000270776,9606.ENSP00000377192"	"PGD,G6PD"
GO:0044597	Daunorubicin metabolic process	2	9	2.49	0.0115	"9606.ENSP00000352584,9606.ENSP00000370254"	"AKR1B10,AKR1C1"
GO:0044598	Doxorubicin metabolic process	2	9	2.49	0.0115	"9606.ENSP00000352584,9606.ENSP00000370254"	"AKR1B10,AKR1C1"
GO:0006693	Prostaglandin metabolic process	4	39	2.16	2.84E-05	"9606.ENSP00000290349,9606.ENSP00000335620,9606.ENSP00000370254,9606.ENSP00000381607"	"CBR1,GSTA1,AKR1C1,GSTP1"
GO:0043651	Linoleic acid metabolic process	2	20	2.15	0.0318	"9606.ENSP00000335620,9606.ENSP00000381607"	"GSTA1,GSTP1"
GO:1901687	Glutathione derivative biosynthetic process	2	21	2.12	0.034	"9606.ENSP00000335620,9606.ENSP00000381607"	"GSTA1,GSTP1"
GO:1990748	Cellular detoxification	7	101	1.99	2.72E-09	"9606.ENSP00000262746,9606.ENSP00000335620,9606.ENSP00000342026,9606.ENSP00000352584,9606.ENSP00000363641,9606.ENSP00000374265,9606.ENSP00000381607"	"PRDX1,GSTA1,PRDX6,AKR1B10,TXN,GPX2,GSTP1"
GO:0006749	Glutathione metabolic process	3	49	1.93	0.0037	"9606.ENSP00000335620,9606.ENSP00000377192,9606.ENSP00000381607"	"GSTA1,G6PD,GSTP1"
GO:0045454	Cell redox homeostasis	3	60	1.84	0.0056	"9606.ENSP00000262746,9606.ENSP00000342026,9606.ENSP00000363641"	"PRDX1,PRDX6,TXN"
GO:0006805	Xenobiotic metabolic process	5	112	1.8	2.46E-05	"9606.ENSP00000303174,9606.ENSP00000335620,9606.ENSP00000370254,9606.ENSP00000381607,9606.ENSP00000411821"	"UGT1A6,GSTA1,AKR1C1,GSTP1,ALDH3A1"
GO:0120254	Olefinic compound metabolic process	4	106	1.72	0.00067	"9606.ENSP00000290349,9606.ENSP00000335620,9606.ENSP00000370254,9606.ENSP00000381607"	"CBR1,GSTA1,AKR1C1,GSTP1"
GO:0001676	Long-chain fatty acid metabolic process	3	111	1.58	0.0206	"9606.ENSP00000290349,9606.ENSP00000335620,9606.ENSP00000381607"	"CBR1,GSTA1,GSTP1"
GO:0034599	Cellular response to oxidative stress	5	244	1.46	0.0005	"9606.ENSP00000262746,9606.ENSP00000342026,9606.ENSP00000374265,9606.ENSP00000377192,9606.ENSP00000381607"	"PRDX1,PRDX6,GPX2,G6PD,GSTP1"
GO:0006979	Response to oxidative stress	6	393	1.33	0.00019	"9606.ENSP00000262746,9606.ENSP00000342026,9606.ENSP00000363641,9606.ENSP00000374265,9606.ENSP00000377192,9606.ENSP00000381607"	"PRDX1,PRDX6,TXN,GPX2,G6PD,GSTP1"
GO:0032787	Monocarboxylic acid metabolic process	6	515	1.21	0.00067	"9606.ENSP00000270776,9606.ENSP00000290349,9606.ENSP00000303174,9606.ENSP00000335620,9606.ENSP00000370254,9606.ENSP00000381607"	"PGD,CBR1,UGT1A6,GSTA1,AKR1C1,GSTP1"
GO:0044255	Cellular lipid metabolic process	6	939	0.95	0.0115	"9606.ENSP00000290349,9606.ENSP00000335620,9606.ENSP00000342026,9606.ENSP00000352584,9606.ENSP00000370254,9606.ENSP00000381607"	"CBR1,GSTA1,PRDX6,AKR1B10,AKR1C1,GSTP1"
GO:0006629	Lipid metabolic process	7	1190	0.91	0.004	"9606.ENSP00000290349,9606.ENSP00000335620,9606.ENSP00000342026,9606.ENSP00000352584,9606.ENSP00000370254,9606.ENSP00000377192,9606.ENSP00000381607"	"CBR1,GSTA1,PRDX6,AKR1B10,AKR1C1,G6PD,GSTP1"
GO:0044281	Small molecule metabolic process	9	1684	0.87	0.00033	"9606.ENSP00000270776,9606.ENSP00000290349,9606.ENSP00000303174,9606.ENSP00000335620,9606.ENSP00000352584,9606.ENSP00000363641,9606.ENSP00000370254,9606.ENSP00000377192,9606.ENSP00000381607"	"PGD,CBR1,UGT1A6,GSTA1,AKR1B10,TXN,AKR1C1,G6PD,GSTP1"
GO:1901700	Response to oxygen-containing compound	7	1567	0.8	0.0158	"9606.ENSP00000262746,9606.ENSP00000352584,9606.ENSP00000363641,9606.ENSP00000370254,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000411821"	"PRDX1,AKR1B10,TXN,AKR1C1,G6PD,GSTP1,ALDH3A1"
GO:0070887	Cellular response to chemical stimulus	11	2919	0.72	0.00019	"9606.ENSP00000262746,9606.ENSP00000303174,9606.ENSP00000335620,9606.ENSP00000342026,9606.ENSP00000352584,9606.ENSP00000363641,9606.ENSP00000370254,9606.ENSP00000374265,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000411821"	"PRDX1,UGT1A6,GSTA1,PRDX6,AKR1B10,TXN,AKR1C1,GPX2,G6PD,GSTP1,ALDH3A1"
GO:0008152	Metabolic process	13	8298	0.34	0.034	"9606.ENSP00000262746,9606.ENSP00000270776,9606.ENSP00000290349,9606.ENSP00000303174,9606.ENSP00000335620,9606.ENSP00000342026,9606.ENSP00000352584,9606.ENSP00000363641,9606.ENSP00000370254,9606.ENSP00000374265,9606.ENSP00000377192,9606.ENSP00000381607,9606.ENSP00000411821"	"PRDX1,PGD,CBR1,UGT1A6,GSTA1,PRDX6,AKR1B10,TXN,AKR1C1,GPX2,G6PD,GSTP1,ALDH3A1"
